,Year,GDP (in Bil. US$PPP),GDP per capita (in US$ PPP),GDP (in Bil. US$nominal),GDP per capita (in US$ nominal),GDP growth (real),Unemployment (in Percent),Government debt (in % of GDP)
0,1980,371.9,532.0,189.4,271.0,6.74%,,
1,1981,431.5,603.2,196.5,274.7,6.01%,,
2,1982,474.1,647.5,203.5,278.0,3.5%,,
3,1983,528.6,705.3,222.0,296.3,7.3%,,
4,1984,568.6,741.4,215.6,281.1,3.8%,,
5,1985,617.4,787.1,237.6,302.9,5.3%,,
6,1986,659.9,822.8,252.8,315.2,4.8%,,
7,1987,703.0,857.7,283.8,346.2,4.0%,,
8,1988,797.9,952.7,299.6,357.8,10.18%,,
9,1989,878.5,1027.0,301.2,352.2,5.9%,,
10,1990,961.8,1101.3,326.6,374.0,5.5%,,
11,1991,1004.8,1127.4,274.8,308.4,1.1%,5.6%,75.3%
12,1992,1084.1,1192.2,293.3,322.5,5.5%,5.7%,77.4%
13,1993,1162.5,1253.5,284.2,306.4,4.8%,5.7%,77.0%
14,1994,1266.4,1339.2,333.0,352.2,6.7%,5.7%,73.5%
15,1995,1390.8,1442.9,366.6,380.3,7.6%,5.8%,69.7%
16,1996,1523.2,1550.6,399.8,407.0,7.6%,5.7%,66.0%
17,1997,1612.3,1610.8,423.2,422.8,4.1%,5.6%,67.8%
18,1998,1731.2,1698.1,428.8,420.6,6.2%,5.7%,68.1%
19,1999,1904.2,1834.4,466.9,449.8,8.5%,5.7%,70.0%
20,2000,2024.7,1916.3,476.6,451.1,4.0%,5.6%,73.6%
21,2001,2172.7,2021.1,494.0,459.5,4.9%,5.6%,78.7%
22,2002,2292.8,2097.1,524.0,479.2,3.9%,5.5%,82.9%
23,2003,2523.8,2270.6,618.4,556.3,7.9%,5.6%,84.4%
24,2004,2795.0,2474.2,721.6,638.8,7.8%,5.6%,83.4%
25,2005,3150.3,2745.1,834.2,726.9,9.3%,5.6%,81.0%
26,2006,3548.3,3044.5,949.1,814.4,9.3%,5.6%,77.2%
27,2007,4001.4,3381.8,1238.7,1046.9,10.3%,5.6%,74.1%
28,2008,4236.8,3528.7,1224.1,1019.5,3.9%,5.4%,72.8%
29,2009,4625.5,3798.5,1365.4,1121.2,7.9%,5.5%,71.5%
30,2010,5161.4,4181.7,1708.5,1384.2,8.5%,5.5%,66.4%
31,2011,5618.4,4493.7,1823.1,1458.1,6.6%,5.4%,68.6%
32,2012,6153.2,4861.2,1827.6,1443.9,5.5%,5.4%,68.0%
33,2013,6477.5,5057.2,1856.7,1449.6,6.4%,5.4%,67.7%
34,2014,6781.0,5233.9,2039.1,1573.9,7.4%,5.4%,67.1%
35,2015,7159.8,5464.9,2103.6,1605.6,8.0%,5.4%,69.0%
36,2016,7735.0,5839.9,2294.8,1732.6,8.3%,5.4%,68.9%
37,2017,8276.9,6112.1,2702.9,1958.0,6.8%,5.4%,69.7%
38,2018,9023.0,6590.9,2702.9,1974.4,6.5%,5.3%,70.4%
39,2019,9540.4,6897.8,2835.6,2050.2,4.2%,5.3%,75.0%
40,2020,9101.3,6517.8,2671.6,1913.2,-5.8%,8.0%,88.5%
41,2021,10370.8,7355.4,3150.3,2234.3,9.1%,6.0%,84.7%
42,2022,11855.4,8329.3,3386.4,2379.2,7.2%,,83.1%
43,2023,13033.4,9073.0,3736.9,2601.4,7%,,83.2%
44,2024,14165.5,9773.0,4062.2,2802.5,7.3%,,83.7%
45,2025,15330.6,10484.8,4547.2,3146.8,7.9%,,83.8%
46,2026,16563.8,11232.6,4765.5,3231.7,7.1%,,83.8%
47,2027,17877.0,12024.0,5153.0,3465.9,7.0%,,83.7%
