,Country,iso_a3,currency_code,local_price,dollar_ex,dollar_price,dollar_ppp,GDP_bigmac,dollar_valuation,euro_valuation,sterling_valuation,yen_valuation,yuan_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
0,United Arab Emirates,ARE,AED,18.0,3.673,4.90062619112442,3.35820895522388,52265.8275111111,-8.57,-7.281,5.0009999999999994,55.505,38.525,-2.314,-9.89,5.3069999999999995,58.021,24.962
1,Argentina,ARG,ARS,980.0,184.69875,5.30593737098925,182.83582089552252,9657.65538367347,-1.009,0.387,13.686000000000002,68.366,49.982,21.184,11.786000000000001,30.637999999999998,96.033,55.022000000000006
2,Australia,AUS,AUD,7.25,1.41854032200865,5.11088750000001,1.3526119402985073,69300.231062069,-4.648,-3.3029999999999995,9.506,62.17700000000001,44.468999999999994,-3.055,-10.573,4.5089999999999995,56.823,24.015
3,Azerbaijan,AZE,AZN,4.9,1.7025,2.87812041116006,0.9141791044776121,12723.3820408163,-46.304,-45.547,-38.333,-8.672,-18.645,-34.948,-39.993,-29.873,5.231,-16.784
4,Bahrain,BHR,BHD,1.7,0.377,4.50928381962865,0.3171641791044778,34014.2762352941,-15.872,-14.685,-3.3840000000000003,43.086999999999996,27.462999999999997,-4.934,-12.306000000000001,2.483,53.783,21.612000000000002
5,Brazil,BRA,BRL,22.9,5.1581,4.4396192396425,4.2723880597014885,10573.7164716157,-17.171,-16.003999999999998,-4.8759999999999994,40.877,25.494,1.081,-6.758,8.967,63.513,29.305999999999997
6,Canada,CAN,CAD,6.11,1.33595,4.57352445825068,1.1399253731343275,63668.8784288053,-14.673,-13.469999999999999,-2.007,45.126,29.279,-11.837,-18.674,-4.958,42.617,12.781
7,Switzerland,CHE,CHF,6.7,0.92315,7.25775876076477,1.2499999999999996,70187.488,35.406,37.315,55.506,130.301,105.154,37.322,26.672,48.035,122.13799999999999,75.666
8,Chile,CHL,CLP,3800.0,800.425,4.74747790236437,708.955223880597,18777.7720955789,-11.428,-10.179,1.72,50.646,34.196,5.148,-3.007,13.350999999999999,70.092,34.508
9,China,CHN,CNY,24.0,6.78405,3.53770977513432,4.4776119402985035,19478.5683,-33.998,-33.067,-24.201,12.258,0.0,-21.828,-27.889999999999997,-15.729000000000001,26.455000000000002,0.0
10,Colombia,COL,COP,18900.0,4545.55,4.15791268383364,3526.119402985075,7549.40459403175,-22.427,-21.333,-10.911999999999999,31.938,17.531,-4.346,-11.764,3.117,54.734,22.363
11,Costa Rica,CRI,CRC,2800.0,564.07,4.96392291736841,522.3880597014924,16010.3834202857,-7.388999999999999,-6.084,6.358,57.513999999999996,40.315,10.961,2.355,19.618,79.495,41.943999999999996
12,Czech Republic,CZE,CZK,99.0,21.94565,4.511144577627,18.47014925373134,35442.3216080808,-15.837000000000002,-14.649999999999999,-3.344,43.146,27.516000000000002,-5.321,-12.664,2.0650000000000004,53.156000000000006,21.116
13,Denmark,DNK,DKK,37.0,6.8401,5.40927764213974,6.902985074626872,67094.5446054054,0.919,2.342,15.9,71.646,52.903,3.253,-4.755,11.308,67.026,32.084
14,Egypt,EGY,EGP,55.0,29.845,1.84285474953929,10.261194029850765,7244.12283636364,-65.618,-65.134,-60.51499999999999,-41.522999999999996,-47.908,-57.56,-60.851,-54.249,-31.347,-45.709
15,Euro area,EUZ,EUR,4.86,0.9195,5.28548123980424,0.9067164179104474,42843.7289368498,-1.39,0.0,13.247,67.717,49.403999999999996,8.407,0.0,16.865,75.364,38.678000000000004
16,Britain,GBR,GBP,3.79,0.81205,4.6672002955483,0.7070895522388053,53239.7344591029,-12.925,-11.698,0.0,48.098,31.927,-7.237,-14.431,0.0,50.056999999999995,18.665000000000003
17,Guatemala,GTM,GTQ,27.0,7.8438,3.44220913332823,5.0373134328358145,7654.14352592593,-35.78,-34.874,-26.247,9.227,-2.7,-20.84,-26.979,-14.664,28.053,1.264
18,Hong Kong,HKG,HKD,21.0,7.8307,2.68175258916827,3.9179104477611886,98919.4202285714,-49.967,-49.262,-42.54,-14.902999999999999,-24.195,-53.081,-56.718999999999994,-49.419999999999995,-24.101,-39.979
19,Honduras,HND,HNL,100.0,24.7,4.04858299595142,18.656716417910456,4001.096352,-24.467,-23.402,-13.255,28.468,14.441,-5.708,-13.020999999999999,1.6480000000000001,52.531000000000006,20.621000000000002
20,Hungary,HUN,HUF,1350.0,359.4686,3.75554359963568,251.86567164179073,25688.5311437037,-29.934,-28.945999999999998,-19.533,19.17,6.157,-18.686,-24.992,-12.342,31.537,4.018999999999999
21,Indonesia,IDN,IDR,35000.0,14887.5,2.35096557514694,6529.850746268668,10579.4907440229,-56.138999999999996,-55.52,-49.628,-25.4,-33.546,-46.474,-50.625,-42.298,-13.415,-31.528
